"库","函数/类","说明","示例"
"re","re.search(pattern, string)","搜索字符串中首次匹配正则的位置","m = re.search(r'\d+', 'a123b'); m.group() → '123'"
"re","re.findall(pattern, string)","找出所有匹配正则的子串，返回列表","re.findall(r'\d+', 'a1b22') → ['1','22']"
"re","re.sub(pattern, repl, string)","将匹配项替换为 repl 字符串","re.sub(r'\s+', ' ', 'a  b') → 'a b'"
"re","re.split(pattern, string)","按正则表达式分割字符串","re.split(r'\W+', 'a,b;c') → ['a','b','c','']"
"datetime","datetime.now()","获取当前本地日期和时间","from datetime import datetime; dt = datetime.now()"
"datetime","datetime.strptime(s, fmt)","将字符串按格式解析为 datetime 对象","datetime.strptime('2025-01-01', '%Y-%m-%d')"
"datetime","dt.strftime(fmt)","将 datetime 对象格式化为字符串","dt.strftime('%Y/%m') → '2025/01'"
"datetime","timedelta(days=1)","表示时间间隔，用于日期加减","dt + timedelta(days=1)"
"math","math.sqrt(x)","计算平方根","math.sqrt(16) → 4.0"
"math","math.ceil(x)/math.floor(x)","向上取整 / 向下取整","math.ceil(3.2) → 4；math.floor(3.8) → 3"
"math","math.log(x[, base])","自然对数或指定底数的对数","math.log(8, 2) → 3.0"
"math","math.pi / math.e","数学常数 π 和自然常数 e","math.pi → 3.14159..."
"random","random.random()","生成 [0.0, 1.0) 之间的随机浮点数","random.random()"
"random","random.randint(a, b)","生成 a 到 b 之间的随机整数（含两端）","random.randint(1,10)"
"random","random.choice(seq)","从序列中随机选择一个元素","random.choice(['a','b'])"
"random","random.shuffle(lst)","原地打乱列表顺序","random.shuffle(my_list)"
"collections","Counter(iterable)","统计可迭代对象中各元素出现次数","from collections import Counter; c = Counter('aab') → {'a':2,'b':1}"
"collections","defaultdict(type)","带默认值的字典，访问不存在的键时自动创建","d = defaultdict(list); d['key'].append(1)"
"collections","deque(iterable)","双端队列，支持高效首尾操作","from collections import deque; q = deque([1,2]); q.appendleft(0)"
"itertools","chain(*iterables)","拼接多个可迭代对象为一个迭代器","from itertools import chain; list(chain([1],[2])) → [1,2]"
"itertools","cycle(iterable)","无限循环迭代可迭代对象","itertools.cycle('AB')"
"functools","reduce(func, iterable)","累积应用函数（需导入）","from functools import reduce; reduce(lambda x,y: x+y, [1,2,3]) → 6"
"functools","lru_cache(maxsize)","缓存函数返回值，避免重复计算","@lru_cache(maxsize=128); def fib(n): ..."
"urllib.parse","urlparse(url)","解析 URL 为组件（scheme, netloc, path 等）","from urllib.parse import urlparse; urlparse('http://a/b')"
"pathlib","Path('file.txt').read_text()","读取整个文本文件（自动处理编码和关闭）","Path('a.txt').read_text(encoding='utf-8')"
"pathlib","Path('dir').mkdir(exist_ok=True)","创建目录（exist_ok 避免已存在报错）","Path('logs').mkdir(parents=True, exist_ok=True)"
